,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,108.5,109.775,108.4,109.53,3778058,PM,109.27967130438961
1248,2018-01-24,109.56,110.89,109.56,110.6,4404104,PM,108.52964039574886
1249,2018-01-25,110.43,111.25,103.02,107.49,11823674,PM,109.62579586826865
1250,2018-01-26,107.36,110.46,107.31,110.19,6000673,PM,110.32498085645116
1251,2018-01-29,109.63,109.7,108.41,108.61,3952549,PM,107.27105131940196
1252,2018-01-30,108.2,109.37,107.754,107.94,4069673,PM,109.5833290987876
1253,2018-01-31,108.23,108.47,106.74,107.23,5041574,PM,108.10140966733093
1254,2018-02-01,107.04,107.58,104.9348,105.17,7612858,PM,108.39676689987823
1255,2018-02-02,105.0,105.53,103.19,103.44,6421805,PM,106.92408956725919
1256,2018-02-05,102.93,103.48,98.51,98.69,7901161,PM,104.98209557030269
1257,2018-02-06,97.31,100.64,96.66,100.33,9591585,PM,102.80551964926401
1258,2018-02-07,99.9,101.61,98.5,98.88,5916838,PM,97.02885699976187
