,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,36.82,37.08,36.54,36.82,17578034,PFE,36.89386512247681
1248,2018-01-24,36.99,37.0701,36.731,36.93,17716499,PFE,36.80499831970463
1249,2018-01-25,36.97,37.34,36.9,37.23,18015415,PFE,36.972033076022726
1250,2018-01-26,37.3,39.09,37.3,39.01,48805858,PFE,36.98011501414287
1251,2018-01-29,39.0,39.43,38.77,39.02,34894666,PFE,37.29331324269112
1252,2018-01-30,38.21,38.75,37.35,37.8,45999703,PFE,38.902296239037554
1253,2018-01-31,37.92,37.99,36.83,37.04,34022734,PFE,38.21816115777789
1254,2018-02-01,36.61,37.395,36.61,36.83,28176379,PFE,37.91399008606743
1255,2018-02-02,36.6,37.25,36.51,36.61,24277891,PFE,36.62396657817717
1256,2018-02-05,36.48,36.7,34.0,34.67,40288128,PFE,36.589093663329834
1257,2018-02-06,34.16,35.475,34.0,35.28,53164235,PFE,36.57104208088004
1258,2018-02-07,35.13,35.65,34.97,34.98,29370002,PFE,34.34253391298205
