,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,216.04,216.35,212.77,215.56,3659082,BRK.B,213.0884436780701
1248,2018-01-24,216.12,216.89,214.59,215.61,4294243,BRK.B,215.85090168845926
1249,2018-01-25,216.24,216.5,214.28,215.1,3088344,BRK.B,215.9666858926015
1250,2018-01-26,215.52,217.34,215.15,217.19,3640838,BRK.B,216.36249319028107
1251,2018-01-29,217.15,217.62,215.19,215.46,3021260,BRK.B,215.59840652727996
1252,2018-01-30,214.97,216.62,214.1,214.41,5040126,BRK.B,216.93743281830248
1253,2018-01-31,214.99,215.05,213.37,214.38,4626303,BRK.B,215.12476030559824
1254,2018-02-01,214.49,217.5,214.03,217.25,4508901,BRK.B,215.00710825388282
1255,2018-02-02,216.16,216.58,207.87,209.12,6080558,BRK.B,214.52674273723102
1256,2018-02-05,205.49,207.1,196.0,196.8,10746479,BRK.B,215.94943213101757
1257,2018-02-06,193.15,201.92,190.18,201.24,10662988,BRK.B,206.5051898041851
1258,2018-02-07,202.0,204.48,200.0,200.37,5758041,BRK.B,193.4226669097956
