,date,open,high,low,close,volume,Name,outcome
963,2018-01-23,1159.85,1171.63,1158.75,1169.97,1333056,GOOG,1136.6683272913135
964,2018-01-24,1177.33,1179.86,1161.05,1164.24,1416625,GOOG,1159.46975170028
965,2018-01-25,1172.53,1175.94,1162.76,1170.37,1480540,GOOG,1177.2576862317821
966,2018-01-26,1175.08,1175.84,1158.11,1175.84,2018755,GOOG,1172.74885503343
967,2018-01-29,1176.48,1186.89,1171.98,1175.58,1378913,GOOG,1173.6744872109437
968,2018-01-30,1167.83,1176.52,1163.52,1163.69,1556346,GOOG,1174.4201835458875
969,2018-01-31,1170.57,1173.0,1159.13,1169.94,1538688,GOOG,1167.6591719705043
970,2018-02-01,1162.61,1174.0,1157.52,1167.7,2412114,GOOG,1170.5150586161224
971,2018-02-02,1122.0,1123.07,1107.28,1111.9,4857943,GOOG,1162.3365115414238
972,2018-02-05,1090.6,1110.0,1052.03,1055.8,3798301,GOOG,1122.843786617805
973,2018-02-06,1027.18,1081.71,1023.14,1080.6,3447956,GOOG,1089.9552324946283
974,2018-02-07,1081.54,1081.78,1048.26,1048.58,2369232,GOOG,1023.6080273310369
