,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,204.89,206.35,204.151,204.9,3621745,HD,201.498274340973
1248,2018-01-24,205.2,207.1,204.551,206.22,4370661,HD,204.85301005186153
1249,2018-01-25,206.8,206.83,203.84,205.37,3537694,HD,205.04304808041718
1250,2018-01-26,205.6,207.3098,204.44,207.23,3778050,HD,206.8772502631055
1251,2018-01-29,207.23,207.605,204.71,204.92,3632937,HD,205.6471314943337
1252,2018-01-30,201.47,203.15,191.57,201.81,5979620,HD,207.19282200495732
1253,2018-01-31,203.22,205.083,200.23,200.9,4547323,HD,201.60317617256246
1254,2018-02-01,199.34,202.25,198.28,199.9,3553795,HD,203.24668860702346
1255,2018-02-02,199.25,199.3,193.44,193.97,6178952,HD,199.5072127344621
1256,2018-02-05,190.07,194.295,180.38,183.11,10618526,HD,199.04319369521983
1257,2018-02-06,178.62,191.96,175.42,191.04,11682716,HD,190.69818844168455
1258,2018-02-07,190.73,194.515,189.72,191.29,6016847,HD,178.18628562144048
