,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,1338.09,1364.9,1337.34,1362.54,5169306,AMZN,1298.7137139881054
1248,2018-01-24,1374.82,1388.16,1338.0,1357.51,6807457,AMZN,1336.2410951917966
1249,2018-01-25,1368.0,1378.34,1357.62,1377.95,4753012,AMZN,1374.330496190676
1250,2018-01-26,1392.01,1402.53,1380.91,1402.05,4857310,AMZN,1368.6209994478234
1251,2018-01-29,1409.18,1431.39,1400.44,1417.68,5701898,AMZN,1388.660448552866
1252,2018-01-30,1403.17,1439.25,1392.0,1437.82,5871942,AMZN,1408.7556209587055
1253,2018-01-31,1451.3,1472.58,1450.04,1450.89,6424693,AMZN,1404.0982580493442
1254,2018-02-01,1445.0,1459.88,1385.14,1390.0,9113808,AMZN,1448.8132793375096
1255,2018-02-02,1477.39,1498.0,1414.0,1429.95,11125722,AMZN,1446.5433224877356
1256,2018-02-05,1402.62,1458.98,1320.72,1390.0,11494985,AMZN,1476.766313425295
1257,2018-02-06,1361.46,1443.99,1351.79,1442.84,11066819,AMZN,1405.6959431989285
1258,2018-02-07,1449.0,1460.99,1415.15,1416.78,7162741,AMZN,1360.2132923559816
