,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,105.29,106.145,104.57,105.9,8287814,WMT,104.47324543232439
1248,2018-01-24,106.35,106.44,104.82,105.79,6823108,WMT,105.17644193007108
1249,2018-01-25,105.85,106.805,105.85,106.6,5857136,WMT,106.10466477196914
1250,2018-01-26,107.0,108.41,106.68,108.39,6786305,WMT,105.84609551041906
1251,2018-01-29,108.11,109.98,107.99,109.55,8355204,WMT,106.96481267340305
1252,2018-01-30,109.14,109.3648,107.151,107.73,9180477,WMT,107.96040230013648
1253,2018-01-31,107.77,108.18,106.07,106.6,9812836,WMT,109.02896052272703
1254,2018-02-01,105.96,106.56,105.18,105.52,6386836,WMT,107.80279402246568
1255,2018-02-02,105.15,106.47,104.15,104.48,9253068,WMT,106.00352626058282
1256,2018-02-05,103.4,104.61,97.09,100.09,12561594,WMT,105.16194343033133
1257,2018-02-06,97.64,101.08,97.25,100.9,16413797,WMT,103.45445192314831
1258,2018-02-07,100.5,104.59,100.01,102.85,11165223,WMT,97.8997590309289
