,date,open,high,low,close,volume,Name,outcome
1247,2018-01-23,161.29,162.05,160.64,160.88,1635846,ACN,161.2502100680197
1248,2018-01-24,161.2,161.99,160.54,160.6,1951898,ACN,161.34864170217003
1249,2018-01-25,161.12,161.75,160.615,160.79,1327113,ACN,161.08832541348585
1250,2018-01-26,161.25,162.58,160.33,162.55,1950655,ACN,161.03608665014178
1251,2018-01-29,162.33,162.6,160.97,161.19,1314847,ACN,161.26548487611964
1252,2018-01-30,160.96,161.16,159.11,159.7,1699965,ACN,162.28340153376618
1253,2018-01-31,160.09,160.945,159.73,160.7,1878301,ACN,161.04736346948428
1254,2018-02-01,160.155,161.13,159.54,160.46,1692576,ACN,160.12044586638442
1255,2018-02-02,159.98,160.27,156.63,156.9,2183611,ACN,160.0780653245003
1256,2018-02-05,156.12,159.27,150.73,151.83,3733711,ACN,159.94298993181826
1257,2018-02-06,150.29,155.18,149.43,154.69,4259634,ACN,156.39544210990957
1258,2018-02-07,154.22,158.93,153.07,155.15,2918659,ACN,150.43072082893187
